Time,Voltage,Current,SoC
16578,3.4689273834228516,4.850300312042236,0.2287692516030765
16579,3.4685893058776855,4.850318908691406,0.22850274078112956
16580,3.4683475494384766,4.85028076171875,0.22831216111014635
16581,3.4678425788879395,4.850292682647705,0.2279140864127672
16582,3.467538356781006,4.850287437438965,0.22767426426269363
16583,3.4671132564544678,4.850300312042236,0.22733915227712845
16584,3.4667584896087646,4.850336074829102,0.2270594850676383
16585,3.4664361476898193,4.850283622741699,0.22680537883966065
16586,3.4660606384277344,4.850327491760254,0.2265093601199382
16587,3.4657373428344727,4.850309371948242,0.22625450209838666
16588,3.4654009342193604,4.850316047668457,0.22598930691519403
16589,3.4651079177856445,4.850316047668457,0.22575831833961377
16590,3.464625597000122,4.850316047668457,0.2253780987396147
16591,3.4643759727478027,4.850320816040039,0.22518131677164682
16592,3.463958740234375,4.850307464599609,0.2248524070830663
16593,3.463609457015991,4.850318908691406,0.22457706268662603
16594,3.463292121887207,4.850278854370117,0.22432690337491137
16595,3.462876558303833,4.850291728973389,0.2239993093250852
16596,3.462564468383789,4.850295543670654,0.22375328487802695
16597,3.4621593952178955,4.850266456604004,0.22343396055751366
16598,3.461843967437744,4.850312232971191,0.22318530483294677
16599,3.461392879486084,4.850295543670654,0.22282970647249287
16600,3.4611546993255615,4.850308418273926,0.22264194602741177
16601,3.4607653617858887,4.850330352783203,0.2223350263008678
16602,3.4605002403259277,4.850295543670654,0.22213438146893044
16603,3.459986448287964,4.85034704208374,0.2217645264259701
16604,3.459695339202881,4.850286483764648,0.22155497050603762
16605,3.459355354309082,4.850294589996338,0.22131023115974463
16606,3.4591362476348877,4.850252151489258,0.2211525064337676
16607,3.4587748050689697,4.850307464599609,0.22089232070516998
16608,3.4583871364593506,4.850309371948242,0.22061325606486676
16609,3.457976818084717,4.8503265380859375,0.22031788690990867
16610,3.4576950073242188,4.850337028503418,0.22011502442230818
16611,3.4571847915649414,4.8502984046936035,0.21974774377639864
16612,3.4571075439453125,4.850274085998535,0.21969213680010205
16613,3.456684112548828,4.850277900695801,0.21938732818929113
16614,3.4562816619873047,4.850295543670654,0.21909762270784472
16615,3.4558193683624268,4.850319862365723,0.21876483898241547
16616,3.4556853771209717,4.850301265716553,0.2186683849062467
16617,3.455207347869873,4.850330352783203,0.21832427383379407
16618,3.454878807067871,4.850276947021484,0.21808777255806355
16619,3.4544928073883057,4.850325584411621,0.21780990930305066
16620,3.454216480255127,4.850335121154785,0.21761099422426136
16621,3.453887939453125,4.850306510925293,0.2173744929485308
16622,3.453484535217285,4.850308418273926,0.2170841009612042
16623,3.453188180923462,4.850275993347168,0.2168707692589306
16624,3.4527978897094727,4.850278854370117,0.21658981672745678
16625,3.4528021812438965,4.85028076171875,0.2165929060039177
16626,3.6135239601135254,-0.0,0.3968362895345919
16627,3.6176581382751465,-0.0,0.40180713253868006
16628,3.620743751525879,-0.0,0.4055025971541862
16629,3.62322998046875,-0.0,0.40846241409651596
16630,3.6255271434783936,-0.0,0.41119715098176207
16631,3.627509117126465,-0.0,0.4135566598273305
16632,3.629232883453369,-0.0,0.4155974220270014
16633,3.6310112476348877,-0.0,0.41769815417039524
16634,3.6326723098754883,-0.0,0.41966032079367244
16635,3.6340014934539795,-0.0,0.4212304483844246
16636,3.6354877948760986,-0.0,0.42298617491370694
16637,3.636732578277588,-0.0,0.4244553666113909
16638,3.6381735801696777,-0.0,0.42614775630459006
16639,3.6393706798553467,-0.0,0.42755369420160416
16640,3.640416383743286,-0.0,0.42878182477645055
16641,3.64157772064209,-0.0,0.43014576094381873
16642,3.6426024436950684,-0.0,0.4313492505039395
16643,3.6436541080474854,-0.0,0.4325843813670603
16644,3.6445798873901367,-0.0,0.4336716661418274
16645,3.6456639766693115,-0.0,0.43494236664495606
16646,3.6466565132141113,-0.0,0.4361031861594674
16647,3.6476614475250244,-0.0,0.43727850546133273
16648,3.6484854221343994,-0.0,0.43824218363624295
16649,3.6493563652038574,-0.0,0.43926079369785953
16650,3.650010108947754,-0.0,0.44002537863871716
16651,3.651013135910034,-0.0,0.44119846720406647
16652,3.651820659637451,-0.0,0.4421429052765262
16653,3.6524646282196045,-0.0,0.4428960576927393
16654,3.6533138751983643,-0.0,0.4438892931264865
16655,3.6540329456329346,-0.0,0.44472939785320803
16656,3.6548011302948,-0.0,0.4456250517646941
16657,3.6555261611938477,-0.0,0.4464703911640824
16658,3.6561825275421143,-0.0,0.447235672113282
16659,3.65692138671875,-0.0,0.448097134395
16660,3.657705307006836,-0.0,0.4490111350346543
16661,3.6582999229431152,-0.0,0.44970441897483004
16662,3.658823251724243,-0.0,0.4503145866767891
16663,3.6595394611358643,-0.0,0.45114964078917397
16664,3.6601009368896484,-0.0,0.45180428540790446
16665,3.6607093811035156,-0.0,0.4525136922304099
16666,3.6611735820770264,-0.0,0.4530549207113731
16667,3.6618263721466064,-0.0,0.4538160319496254
16668,3.662336587905884,-0.0,0.4544109107114442
16669,3.6629345417022705,-0.0,0.4551066225072166
16670,3.6635475158691406,-0.0,0.4558194514628896
16671,3.6639769077301025,-0.0,0.45631879216657184
16672,3.664508819580078,-0.0,0.4569373535824047
16673,3.6649582386016846,-0.0,0.4574599839135769
16674,3.665477991104126,-0.0,0.4580644051984338
16675,3.665985584259033,-0.0,0.45865468635231466
16676,3.666408061981201,-0.0,0.45914598658936345
16677,3.666942596435547,-0.0,0.4597675978373677
16678,3.667478084564209,-0.0,0.4603903181152524
16679,3.6678249835968018,-0.0,0.4607937277342738
16680,3.6683716773986816,-0.0,0.46142947911325405
16681,3.6685986518859863,-0.0,0.46169342822480625
16682,3.6690757274627686,-0.0,0.462248220422512
16683,3.6695556640625,-0.0,0.46280633970985924
16684,3.670037031173706,-0.0,0.4633661225420272
16685,3.6704299449920654,-0.0,0.46382304285278136
16686,3.670947313308716,-0.0,0.4644246915629371
16687,3.6711089611053467,-0.0,0.464612672127677
16688,3.671534776687622,-0.0,0.4651065810372491
16689,3.6718685626983643,-0.0,0.4654936705952729
16690,3.6722118854522705,-0.0,0.46589181985495454
16691,3.67261004447937,-0.0,0.4663535623991686
16692,3.6728899478912354,-0.0,0.4666781646428257
16693,3.673408031463623,-0.0,0.4672789829353869
16694,3.6737053394317627,-0.0,0.4676237691345695
16695,3.6738088130950928,-0.0,0.46774376689755687
16696,3.6743102073669434,-0.0,0.4683252307122169
16697,3.674574613571167,-0.0,0.46863186094068
16698,3.6748430728912354,-0.0,0.4689431915423477
16699,3.675253391265869,-0.0,0.4694190352061755
16700,3.675609827041626,-0.0,0.4698323915556366
16701,3.6758480072021484,-0.0,0.47010860760454076
16702,3.676098346710205,-0.0,0.47039892477305856
16703,3.6764729022979736,-0.0,0.4708332945556696
16704,3.6767024993896484,-0.0,0.47109955687308164
16705,3.676959753036499,-0.0,0.4713978923253014
16706,3.677154302597046,-0.0,0.47162351023912097
16707,3.6776325702667236,-0.0,0.4721781542772608
16708,3.6777985095977783,-0.0,0.47237059308610685
16709,3.6780498027801514,-0.0,0.4726620162247905
16710,3.678292989730835,-0.0,0.47294403861706497
16711,3.678518295288086,-0.0,0.473205324068731
16712,3.678741693496704,-0.0,0.47346439758006553
16713,3.679117202758789,-0.0,0.4738998733328423
16714,3.6793508529663086,-0.0,0.4741708360234589
16715,3.679529905319214,-0.0,0.47437848192208454
16716,3.6797351837158203,-0.0,0.47461654200026915
16717,3.6799654960632324,-0.0,0.4748831498678114
16718,3.6802549362182617,-0.0,0.4752176188256115
16719,3.6804234981536865,-0.0,0.4754124042895033
16720,3.6807425022125244,-0.0,0.47578103646869324
16721,3.680889368057251,-0.0,0.4759507505362426
16722,3.6811859607696533,-0.0,0.4762934847895402
16723,3.681424140930176,-0.0,0.476568719129608
16724,3.6815831661224365,-0.0,0.47675248419950317
16725,3.6817257404327393,-0.0,0.4769172390897539
16726,3.68198823928833,-0.0,0.47722057543451335
16727,3.6821794509887695,-0.0,0.4774415343341474
16728,3.682359457015991,-0.0,0.4776495442708353
16729,3.682555913925171,-0.0,0.47787656438716747
16730,3.6828200817108154,-0.0,0.47818182930087627
16731,3.682985305786133,-0.0,0.47837275762686926
16732,3.6832215785980225,-0.0,0.4786457878881377
16733,3.6832876205444336,-0.0,0.47872210411656496
16734,3.6835110187530518,-0.0,0.47898025684593787
16735,3.6837682723999023,-0.0,0.4792775319739991
16736,3.683818817138672,-0.0,0.47933594006218166
16737,3.6841108798980713,-0.0,0.47967343962833087
16738,3.684250831604004,-0.0,0.47983516391023256
16739,3.6844446659088135,-0.0,0.48005915341821565
16740,3.684617519378662,-0.0,0.480258898059406
