Time_S,Voltage_V,Current_A
16914,3.694744110107422,0.0
16915,3.694854497909546,0.0
16916,3.6948771476745605,0.0
16917,3.694781541824341,0.0
16918,3.6950013637542725,0.0
16919,3.6949119567871094,0.0
16920,3.695101499557495,0.0
16921,3.694938898086548,0.0
16922,3.695098876953125,0.0
16923,3.6950249671936035,0.0
16924,3.6951656341552734,0.0
16925,3.6951639652252197,0.0
16926,3.6951849460601807,0.0
16927,3.695223093032837,0.0
16928,3.6951117515563965,0.0
16929,3.6953768730163574,0.0
16930,3.6952908039093018,0.0
16931,3.6953256130218506,0.0
16932,3.6952996253967285,0.0
16933,3.695500373840332,0.0
16934,3.695409059524536,0.0
16935,3.6954994201660156,0.0
16936,3.6955065727233887,0.0
16937,3.69557785987854,0.0
16938,3.695660352706909,0.0
16939,3.6956465244293213,0.0
16940,3.69561505317688,0.0
16941,3.695634365081787,0.0
16942,3.695751667022705,0.0
16943,3.6959002017974854,0.0
16944,3.6957967281341553,0.0
16945,3.695796012878418,0.0
16946,3.695770740509033,0.0
16947,3.6959192752838135,0.0
16948,3.6959376335144043,0.0
16949,3.6959080696105957,0.0
16950,3.6959550380706787,0.0
16951,3.695990562438965,0.0
16952,3.695894241333008,0.0
16953,3.696059226989746,0.0
16954,3.696052312850952,0.0
16955,3.6962270736694336,0.0
16956,3.695929765701294,0.0
16957,3.6961541175842285,0.0
16958,3.6961262226104736,0.0
16959,3.6962921619415283,0.0
16960,3.6962296962738037,0.0
16961,3.6963295936584473,0.0
16962,3.696354866027832,0.0
16963,3.696408748626709,0.0
16964,3.6963322162628174,0.0
16965,3.6963765621185303,0.0
16966,3.696411371231079,0.0
16967,3.6965253353118896,0.0
16968,3.6965365409851074,0.0
16969,3.6965017318725586,0.0
16970,3.6965904235839844,0.0
16971,3.696615695953369,0.0
16972,3.696629524230957,0.0
16973,3.6967313289642334,0.0
16974,3.696732997894287,0.0
16975,3.696718215942383,0.0
16976,3.696690320968628,0.0
16977,3.6967356204986572,0.0
16978,3.6966798305511475,0.0
16979,3.6966817378997803,0.0
16980,3.696789503097534,0.0
16981,3.6967382431030273,0.0
16982,3.6967885494232178,0.0
16983,3.6968963146209717,0.0
16984,3.696854591369629,0.0
16985,3.6967504024505615,0.0
16986,3.6969590187072754,0.0
16987,3.696974515914917,0.0
16988,3.697110176086426,0.0
16989,3.697039842605591,0.0
16990,3.6968955993652344,0.0
16991,3.6970624923706055,0.0
16992,3.697028398513794,0.0
16993,3.6970911026000977,0.0
16994,3.697158098220825,0.0
16995,3.697155475616455,0.0
16996,3.6971189975738525,0.0
16997,3.6972241401672363,0.0
16998,3.6971023082733154,0.0
16999,3.697239637374878,0.0
17000,3.6972544193267822,0.0
17001,3.6971797943115234,0.0
17002,3.6972875595092773,0.0
17003,3.697298765182495,0.0
17004,3.6974143981933594,0.0
17005,3.697352647781372,0.0
17006,3.697401523590088,0.0
17007,3.6974127292633057,0.0
